raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,ls_driver_points,ls_constructor_points,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
303,1992.0,15.0,22.0,Japanese Grand Prix,1992-10-25,\N,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix,119.0,2.0,1,1992-10-25,53.0,125.0,3.0,5.0,3.0,8.0,2.0,2.0
303,1992.0,15.0,22.0,Japanese Grand Prix,1992-10-25,\N,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix,131.0,17.0,3,1992-10-25,10.0,12.0,6.0,15.0,10.0,7.0,11.0,2.0
303,1992.0,15.0,22.0,Japanese Grand Prix,1992-10-25,\N,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix,94.0,19.0,3,1992-10-25,6.0,6.0,8.0,15.0,10.0,8.0,6.0,6.0
304,1992.0,16.0,29.0,Australian Grand Prix,1992-11-08,\N,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,77.0,4.0,1,1992-11-08,43.0,139.0,3.0,2.0,2.0,4.0,3.0,5.0
304,1992.0,16.0,29.0,Australian Grand Prix,1992-11-08,\N,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,55.0,6.0,3,1992-11-08,21.0,55.0,8.0,5.0,3.0,4.0,3.0,3.0
304,1992.0,16.0,29.0,Australian Grand Prix,1992-11-08,\N,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,123.0,22.0,3,1992-11-08,0.0,0.0,5.0,8.0,7.0,10.0,12.0,10.0
304,1992.0,16.0,29.0,Australian Grand Prix,1992-11-08,\N,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,57.0,10.0,3,1992-11-08,2.0,3.0,19.0,5.0,4.0,6.0,10.0,6.0
304,1992.0,16.0,29.0,Australian Grand Prix,1992-11-08,\N,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,131.0,15.0,3,1992-11-08,10.0,12.0,10.0,7.0,15.0,10.0,7.0,11.0
273,1993.0,1.0,30.0,South African Grand Prix,1993-03-14,\N,http://en.wikipedia.org/wiki/1993_South_African_Grand_Prix,102.0,2.0,2,1993-03-14,50.0,99.0,3.0,3.0,1.0,5.0,1.0,2.0
273,1993.0,1.0,30.0,South African Grand Prix,1993-03-14,\N,http://en.wikipedia.org/wiki/1993_South_African_Grand_Prix,77.0,15.0,3,1993-03-14,49.0,99.0,5.0,1.0,2.0,2.0,4.0,3.0
