grid,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5,ls_constructor_points,ls_driver_points,position
18.0,7.0,6.0,14.0,16.0,11.0,6.0,0.0,0.0,4
20.0,7.0,7.0,8.0,9.0,8.0,7.0,12.0,5.0,3
19.0,6.0,8.0,10.0,7.0,5.0,4.0,12.0,11.0,3
20.0,16.0,10.0,9.0,12.0,11.0,6.0,3.0,1.0,4
11.0,15.0,4.0,13.0,12.0,13.0,11.0,0.0,0.0,3
16.0,10.0,9.0,5.0,8.0,10.0,8.0,7.0,0.0,3
5.0,14.0,4.0,3.0,5.0,10.0,3.0,28.0,12.0,2
3.0,3.0,1.0,2.0,1.0,1.0,1.0,72.0,52.0,1
21.0,4.0,7.0,8.0,10.0,7.0,5.0,12.0,11.0,4
14.0,15.0,5.0,9.0,5.0,8.0,10.0,7.0,0.0,3
20.0,12.0,8.0,9.0,9.0,5.0,8.0,7.0,5.0,3
5.0,6.0,3.0,7.0,5.0,4.0,6.0,84.0,4.0,2
4.0,9.0,3.0,4.0,5.0,3.0,4.0,28.0,16.0,2
1.0,6.0,3.0,4.0,3.0,5.0,10.0,28.0,12.0,1
16.0,12.0,10.0,14.0,17.0,7.0,8.0,10.0,5.0,3
17.0,11.0,9.0,8.0,9.0,9.0,5.0,7.0,5.0,3
3.0,15.0,1.0,2.0,2.0,2.0,1.0,168.0,69.0,3
22.0,6.0,11.0,10.0,9.0,12.0,11.0,3.0,1.0,3
11.0,7.0,3.0,9.0,9.0,11.0,3.0,23.0,10.0,3
21.0,10.0,6.0,11.0,10.0,9.0,12.0,3.0,1.0,3
2.0,1.0,8.0,1.0,2.0,2.0,2.0,168.0,69.0,2
20.0,7.0,11.0,6.0,14.0,16.0,11.0,0.0,0.0,3
6.0,5.0,11.0,2.0,8.0,6.0,9.0,23.0,13.0,3
4.0,3.0,1.0,3.0,4.0,3.0,5.0,28.0,12.0,4
3.0,1.0,2.0,8.0,1.0,2.0,2.0,168.0,69.0,1
8.0,6.0,3.0,3.0,7.0,5.0,4.0,84.0,4.0,2
12.0,11.0,5.0,3.0,9.0,9.0,11.0,23.0,10.0,3
14.0,16.0,5.0,10.0,14.0,17.0,7.0,10.0,5.0,3
10.0,12.0,10.0,5.0,9.0,5.0,8.0,7.0,0.0,3
18.0,14.0,7.0,11.0,6.0,14.0,16.0,0.0,0.0,3
16.0,9.0,10.0,13.0,13.0,12.0,9.0,10.0,5.0,3
20.0,5.0,11.0,7.0,8.0,10.0,7.0,12.0,11.0,4
3.0,1.0,1.0,2.0,8.0,1.0,2.0,168.0,69.0,1
2.0,4.0,12.0,1.0,3.0,4.0,3.0,28.0,12.0,2
7.0,14.0,2.0,3.0,3.0,7.0,5.0,84.0,4.0,2
15.0,2.0,4.0,11.0,2.0,8.0,6.0,23.0,13.0,3
24.0,6.0,8.0,6.0,11.0,10.0,9.0,3.0,1.0,3
20.0,11.0,6.0,7.0,8.0,9.0,8.0,12.0,5.0,3
19.0,6.0,9.0,7.0,11.0,6.0,14.0,0.0,0.0,4
4.0,5.0,3.0,2.0,3.0,3.0,7.0,84.0,4.0,2
7.0,6.0,5.0,4.0,11.0,2.0,8.0,23.0,13.0,3
2.0,3.0,1.0,1.0,2.0,8.0,1.0,168.0,69.0,1
16.0,14.0,6.0,5.0,10.0,14.0,17.0,10.0,5.0,3
11.0,9.0,4.0,9.0,8.0,9.0,9.0,7.0,5.0,3
18.0,8.0,8.0,10.0,5.0,9.0,5.0,7.0,0.0,4
20.0,10.0,13.0,9.0,7.0,11.0,6.0,0.0,0.0,4
2.0,4.0,1.0,1.0,1.0,2.0,8.0,168.0,69.0,1
7.0,5.0,2.0,3.0,4.0,5.0,3.0,28.0,16.0,2
8.0,3.0,3.0,3.0,2.0,3.0,3.0,84.0,4.0,3
18.0,6.0,8.0,4.0,9.0,8.0,9.0,7.0,5.0,3
9.0,6.0,6.0,5.0,4.0,11.0,2.0,23.0,13.0,2
1.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,5.0,1
11.0,5.0,2.0,12.0,1.0,3.0,4.0,28.0,12.0,2
8.0,4.0,3.0,2.0,3.0,4.0,5.0,28.0,16.0,3
19.0,9.0,8.0,8.0,4.0,9.0,8.0,7.0,5.0,3
18.0,9.0,12.0,8.0,10.0,5.0,9.0,7.0,0.0,3
17.0,12.0,9.0,6.0,7.0,8.0,9.0,12.0,5.0,3
4.0,7.0,7.0,3.0,3.0,2.0,3.0,84.0,4.0,4
2.0,1.0,1.0,1.0,2.0,1.0,1.0,103.0,92.0,1
5.0,3.0,2.0,2.0,12.0,1.0,3.0,71.0,41.0,2
6.0,3.0,6.0,3.0,2.0,3.0,4.0,71.0,24.0,3
9.0,5.0,5.0,5.0,3.0,9.0,9.0,13.0,8.0,3
